comment,label
Now I understand better why handmade stuff are so expensive.,2.0
"Imagine someone sharing A-Z of their business in such a detail. 
In conclusion: Pottery cannot be done by everybody. It is the talent and years and years of practice. And he knows he’s the best at it",2.0
The filming and narration is done so beautifully and elegantly i didn’t notice 25minutes passes by ,2.0
I can't believe I am watching this for free,2.0
"There's a local Japanese store that sells handmade teaware... Yeah, I'm definitely buying a full set after seeing how much goes into making this beautiful ART",2.0
"I am not an artist and not even remotely a potter, and still I watched the whole 25 minutes of your video without skipping. Such a careful, meticulous process, narrated scientifically. Such great work! So amazed to learn how the humble cup is made.",2.0
I was so excited for him to open the kiln and find all the beauty inside. Thank you for this video. Enjoyed every minute of it ❤,2.0
This video makes me want to buy from smaller businesses. You can almost feel how everything is made with love and a lot consideration. Every piece has his own unique touch to it and i love that. 🥰✨,2.0
"Going to be really studying your videos this semester. Ceramics has always been daunting to me, and now I have to take the class to meet the class requirements for my major. So far it has been astoundingly helpful in assisting me with understanding the overall process. I feel that with your videos as reference, I may just survive this. Thank you on behalf of all of us struggling students",2.0
"i’m in my last semester of senior year and i’m only now taking ceramics and really falling in love with clay! i love these videos, thank you for showing us your incredible process :)",2.0
"From now on, I’ll see my cups, plates differently, with much respect to the artists who made them",2.0
"Watching the amount of skill going into these coffee cups makes me appreciate my local potters' works even more. Usually as artists, we get questioned why our works are so expensive.  However, I think it's important customers and clients understand why the cost is as it is- the amount of skill, the time spent refining those skills and producing these creations, etc going into a product/piece.",1.0
As a person who is fascinated with ceramics and somebody who wants to start doing something with stoneware in near future I would have never imagined that I would find a video with so much practical knowledge packet in it. Thank You.,2.0
"Amazingly informative! Best simplified explanation I've heard of what happens in a reduction atmosphere. BTW folks if you struggle w pulling handles you can do it upside down for a bit. just slap some clay down on the edge of your wedging table. Pull up. When it gets long enough it will flop over and hang. You can pull downwards at this point if more is needed. I like doing it this way cause the ""flop"" produces a nice organic curve, useful for ear-profile handles",2.0
Such passion and poetry amongst the technical detail and heritage references. Very well done video and I learned so much. I will start to get into pottery thank you,2.0
"I love watching and listening to your videos. They are beautiful to watch and I love your style of narration. I think people learn best when they know the reason they are doing something and you explain your reasons and methods so well. I have just started throwing and I happened upon one of your videos and have now watched several, some a couple of times over.  Thank you so much for creating this content.",2.0
Impressive! It's funny to see how potters do things so differently from one to an other! Thank you for the tricks!,2.0
You can clearly hear the the passion for the craft on the potter's voice. Thank you for sharing your craft. I was trying to show my 4 year old how cups are made before putting him to sleep and ended up watching all 24 and a half minutes of you. Thank you for this. You gained two fans. My son was blown away :),2.0
"I know i'm late to the party with this video but I'm currently on an 8 week pottery course and I'm hooked. I really like the how these look at the end but I'm wondering, is this look specific as a result of reduction firing or can it be acheived in an electric kiln?",2.0
"The sadness I felt when I discovered everything was sold out was astronomical, though I couldn’t have afforded anything anyway. I love the work you do :D",2.0
"I love doing pottery! It's so meditative, at least when it's a hobby. Don't know what it's like if you do it to earn a living though...
I mostly make decorative masks and forest themed decoration and thinking about selling it on Etsy at some point.",2.0
"Personally I hand paint my glaze on. Its more of a personal method in a way, it makes me feel more proud when they come out because I spent so much time on them:) (I'm a high school student so I'm not very experienced but I enjoy the glazing process)",1.0
"I would love to try pottery but it just seems so complicated. I’m a truck driving father of 2 @ 41 working 70 hours a week and rarely home. I fear I don’t have the time to learn pottery but I love watching your content it’s very calming and interesting.
",2.0
This is so beautiful ❤️.,2.0
"I'm not sure you'll share this info but can't hurt to ask, but what glaze do you use or what's in your glaze mix? I absolutely love the color and how the color on the edges change ever so slightly.",2.0
"watching this i'm actually quite embarrassed, because i used to think u just put all the glazed pottery in the kiln, set the temperature to 1200°c and call it a day..... it's crazy impressive how much work there is behind professional handmade pottery. this video was amazing to watch and makes me appreciate work like this SO much more. you're doing such a great job!!",2.0
"To watch this was heaven. I had a tumor removed and don’t really have the strength to throw a pot. To watch this, was as if I were sitting in front of my own wheel. Thank you. 🦋💖 wonderful channel.",2.0
"If you ever feel like a disappointment, remember this man exists.",0.0
This man is single-handedly giving me reasons to stay in shape,2.0
These two are literally a Netflix documentary waiting to happen at this rate.,0.0
The fact this man has almost 1 million subscribers confirms that there never actually was any hope for the human race.,0.0
I bet both your families are so proud,0.0
"Whenever I have a bad day, I just remember that this guy exists and I instantly feel better",0.0
Its crazy to know people actually enjoy watching him,0.0
"Bro, with the reputation you have if you were to turn it around and use your channel as a reference for weight loss you could really inspire people. You would build an entirely new community full of support.",1.0
"I eat healthy, go to the gym daily and get 8-10 hours of sleep thanks to this man",0.0
"This saddens me to see this. My mother lost her life from a heart attack at the size of 405 pounds. I’m not no skinny person myself, but I’m attempting to make an effort to lose weight. I’m not going to call this man names or make fun of him like a lot of people do, I just hope the best for him. Being overweight and trying to lose it is a struggle, trust me I know, but you can’t give up.",0.0
This should be on replay at all gyms!,0.0
"I’m convinced Nick can give anyone the motivation to lose weight.
",1.0
Man is single handedly  keeping Mcdonalds open.,0.0
You know I've always wanted to cut off some weight but really couldn't find the motivation to do so but after watching this Manchild put away $100 worth ( probably more ) worth of McDonald's with and like a complete idiot has definitely gaven me the motivation,0.0
I want to thank you for all the motivation you give me,2.0
"i don’t know what’s in your mind, or your heart, Nik, but I hope you’ll reconsider your choices and make a change to stick around. You’re a good guy",1.0
It’s been a while since I’ve watched nicko. I’ve just came by to check how he’s doing cause yk I want him to take care of his health. I guess nothing has changed 😢😞,0.0
Remember childre this man is a prime example of what not to do,0.0
Nickacado makes me a tiny bit happy he shows how low a human can go and that I’m definetly not at my lowest,2.0
He makes me more motivated to be more fit,2.0
"if i ever feel like im letting myself go, i think of this guy",0.0
"I actually feel bad for this guy?? he is a good person, he just got himself into the habit of overeating, playing a character, and he can't get himself out. i really wish the best for nik.",0.0
I always come back when I’m feeling down because watching this reminds me it can always be worse,2.0
"Just sitting here eating an apple , he makes me feel good about myself lol",0.0
its so funny how nick is mad over the box and his husband is just casually eating happily,1.0
Omg such great content nick! Always inspiring our younger generation. Keep it up 🔥 💀,0.0
I'll pray for you brother.  I hope you can heal whatever it's that's causing you to be like this. Remember god loves you so much. If you accept his love and follow his word.  Then I promise you'll be happier then ever. Hang in there buddy. You dan do this!!,2.0
His stomach actually looks a lot smaller. I’m glad he’s losing a little weight and taking time off. It’s given me a chance to watch his first channel from the beginning ☺,2.0
"THIS IS INSANE, MAN! Many people are worried about u! For goodness sake, please care more about your health!",0.0
Next year if Nick is still around no matter what content he does we should support him because he cant keep this up for much longer.,0.0
This guy consistently makes me spit out liquids and nearly choke on food. Good lord! LOl,0.0
Bro I swear he’s blinked more times in this video than I have in my life,0.0
"Buddy I just worried about you,  I want you to live healthy, and be ok. But I hope you will be ok. Prayers sent your way. I love the shirt by the way.",2.0
This guy's grandmother must be proud of him,0.0
I can watch you do your Walmart skit over and over and over it is hilarious love it,2.0
U can still change ❤️‍🔥 never give up man dont listen to the haters just TRY atleast to get in shape or just lose a pound,2.0
"I enjoyed this content, you're a fun and interesting person and its nice to see an authentic you. plus, it's fun to see if your question will be read next! definitely do more of this in the future!",2.0
89 pounds holy cow that is a lot congratulations I can actually see that you are losing weight. Your face is looking slimmer so proud of you. I love watching your shows. I have watched them for years. Keep up the amazing work you got this.,2.0
I think it's sad you're legitimately making good changes in your life but not a lot of people are acknowledging it. You're just a walking meme which is fun but people forget there is a person behind that.,0.0
"If you use steel rails instead of concrete and larger train cars, perhaps even multiple train cars coupled together, then this metro idea could work out great. Public transportation is no small task, but i am confident that you guys can make an amazing system if you scale things up a little bit.",2.0
"As much as I greatly respect Elon's ingenuity, I think he's off the mark on this. There just seems to be a lot that can go wrong jamming tens of thousands of cars through a tube each day. I would like to see him perfect the underground high speed Maglev mass transit system. It just seems to make more sense getting all those single occupant vehicles off the road.",0.0
Finally a CEO which fulfills his visions. Keep it up mr. Musk!,2.0
Elon really doesnt fear making claustrophofobic designs,0.0
dont forget to place torches or mobs will spawn in there,1.0
Promised: 155mph autonomous 16 passenger pod.     Produced: 30 mph piloted 4 passenger teslas,0.0
"wow, Elon invented the subway, amazing!",0.0
"Reminds me of a combination of Japanese parking lot buildings with robotic car elevators & the ""Transitway"" system they have here in Ottawa, exclusive roads for public transport; except underground and for private citizens.",1.0
"This just seems like a metro, but less efficient",0.0
"I like how they went with the harder, heavy metal sound on this one compared to the sleeker, richer urban vibes of the CGI renders",2.0
"Man is this how we go from city to city. It's going to suck not seeing the nice blue sky, the trees, the mountains when going on a road trip. Road trips would feel like crap going in these garbage tunnels",0.0
"I think the majority of the time will be consumed in making this system idiot proof, what if someone litters in the tunnel and it ends up being a hazard to the people behind?",1.0
"so basically its the highway that's only one lane, with a claustrophobia inducing design, and with narrow walls meaning its much slower and more dangerous, not to mention more expensive to produce. The existing highway system and a new high speed rail would do the same thing more efficiently, and it would be cheaper to produce and to use. Just because something has never been done before doesn't make it innovation, in this case nobody done it before because its a shit idea. It makes me sick to think about how many struggling people could have been fed or even housed for the amount it cost to build this stupid tunnel just so that elon can satisfy his over-inflated ego and feel like he's doing something special",0.0
"imagine an underground parking space where the owners can walk up to a machine and select their vehicle once they are done with their activities. Pedestrian activities aboveground, parking/inactivities underground.",1.0
Great idea to help the super rich get from a to b without having to queue behind the plebs.,0.0
Only man I respect the most and look up to nobody greater than Elon Musk such a legend,2.0
"We all know, eventually somebody is gonna hack into this and cause devastation.",0.0
"It would be so cool to contact a bunch of local artists from the areas to cover all the tunnels in murals.  It would be an amazing way to show the artistic side of the cities as well, knowing you left one place into another because of the changes of style and depictions of what’s in the art.  A nice cultural touch to the whole thing",2.0
"This is like endless, loop hole night mare",0.0
Exciting to see this ride.,2.0
They should use this tunnel to travel around the world with the Tesla,1.0
"What I would be afraid of each time I went down one of these is the possibility that either the passenger inside the vehicle gets stuck in the tunnel via the tunnel system having an error (some kind of malfunction etc. if that is possible) or your vehicle can’t handle the speeds you are moving due to your vehicles specs/age/own mechanical failures. Either way, I like the idea. Beware those with claustrophobia.",0.0
im not a native english speaker so when i first heard of this company i litterally thought the company was calling itself boring,1.0
If there is a separate tunnels for only ambulances for serious patients to reach the hospital in minimum time that would be a great to save lifes .,2.0
"Car elevators arn't needed. Simply use existing car garages in the city under buildings as entry/exit points by building extra ground floor for entering into tunells. Cars can travel from one garage to another through tunells at high speeds, freeing streets. Great idea. For higher speeds air should be pumped in the direction of traffic to reduce air friction. Besides little wheels reinforced bumpers should be added. In case of power loss other cars can always push it through from behind.",2.0
Another great product keep up the work Elon,2.0
"Out of curiosity, what improvements would need to be made for the boring machine to tunnel and make bricks in low G?  I presume dust would be a significant issue so sealing critical components.  Not sure what goes into actually making the bricks.  Is it something that could be done naturally on the moon or Mars?",1.0
This is the scariest thing ever trust Elon musk to make something like this,0.0
"It actually is a dream of mine to travel underground to places I wanna be very quick, like school and gym",2.0
"But wha takes off that boot thing after you're done, or you just keep it on the car?",1.0
Bro Elon musk is taking the world to the next level,2.0
"Let's make something like this but for bigger vehicles, trains maybe. I think we can call it subway",0.0
"My question is... If it takes 30 seconds to be lowered into the tunnel and 30 seconds for the lift to return to the surface,  if there were 50 vehicles in rush hour trying to use this, wouldnt car number 50 be waiting 50 minutes, and also once inside, If there was a variant of 2mph difference in every other cars speed, wouldnt there be a jam at the tunnels exit?",0.0
"The nice thing about this tunnel, is that instead of having to take a tram or bus/taxi from point A to get to a station somewhere and then walking to point B from the station, in this tunnel you have your car with you once you've gotten to the end of it. With the tunnel, you can just drive to point B without having to walk or pay! Sorry for my run-off sentences",2.0
I really thought the tunnel would be bigger when I heard the idea…,0.0
"So is the car driving that, or is it getting pushed along by some sort of mechanism?",1.0
"Elon's vision that he shared to us through his visual models showed a single lane track of sorts, With an already made catch/lift that your car would just drive up onto, and be transported on through the tunnels with. This silly car part upgrade with the outward facing wheels is in aid of the opposite of his vision. Whats going on here!???! Compromise i dare hear you say!? Nay!",0.0
So AMAZING,2.0
But what about the guide wheels? Do you need those installed prior to entering the loop or do you drive onto a pair when entering?,1.0
"I wish I had the money to do this. I have always thought about this idea even as my high school project on how to beat traffic in LA.
Keep up the great idea and push ELON. I wish to be working with one of your companies.",2.0
"Amazing idea and proof of concept, I'm excited to see this in the future",2.0
Just to people out there who misunderstand this technology. This is to fix very inefficient city planning. Modern and well planned cities will have no need for this. Public transport is still waaaaay better and more efficient.,2.0
imagine your car is too short and it just smashes your car :D,0.0
"Elon gets tired of sitting in traffic and comes up with the idea of a tunnel, he makes the reality. Then he sells hats for his new company. 50k hats later he gets tired of his hats and makes FUCKING FLAMETHROWERS. then after all of that he shot a tesla into space with the world's most powerful rocket at the time. And he hosted meme review. I fucking love elon musk",2.0
remember when u were supposed to drive a car and not ride it,0.0
Why do I have the feeling that this system is going to be exclusive to the elite?,0.0
Elon... Combine your Boring company with desonilasation to solve the brine disposal issue. Tunnels will be the perfect solution for transporting brine to deserts to create brine lakes to lower temp and fix Cali's water issue.,2.0
"So, you have to get out of the car and somehow install special equipment to your front wheels which goes into your wheel hub nuts.
Then you drive the car yourself inside the tunnel. Hoping nobody got stuck in it for any reason. Otherwise you have a big problem...
Then you get out from the other side and remove that special equipment from your wheels.
Looks like a big fail...",0.0
Seems like an expensive version of a subway train. I think Elon would be better off just selling the tunneling service for cities to build subways.,0.0
how will this be better than trains?,0.0
Now I understand better why handmade stuff are so expensive.,2.0
"Imagine someone sharing A-Z of their business in such a detail.
In conclusion: Pottery cannot be done by everybody. It is the talent and years and years of practice. And he knows he’s the best at it",2.0
The filming and narration is done so beautifully and elegantly i didn’t notice 25minutes passes by ,2.0
I can't believe I am watching this for free,2.0
"There's a local Japanese store that sells handmade teaware... Yeah, I'm definitely buying a full set after seeing how much goes into making this beautiful ART",2.0
"I am not an artist and not even remotely a potter, and still I watched the whole 25 minutes of your video without skipping. Such a careful, meticulous process, narrated scientifically. Such great work! So amazed to learn how the humble cup is made.",2.0
I was so excited for him to open the kiln and find all the beauty inside. Thank you for this video. Enjoyed every minute of it ❤,2.0
This video makes me want to buy from smaller businesses. You can almost feel how everything is made with love and a lot consideration. Every piece has his own unique touch to it and i love that. 🥰✨,2.0
"Going to be really studying your videos this semester. Ceramics has always been daunting to me, and now I have to take the class to meet the class requirements for my major. So far it has been astoundingly helpful in assisting me with understanding the overall process. I feel that with your videos as reference, I may just survive this. Thank you on behalf of all of us struggling students",2.0
"i’m in my last semester of senior year and i’m only now taking ceramics and really falling in love with clay! i love these videos, thank you for showing us your incredible process :)",2.0
"From now on, I’ll see my cups, plates differently, with much respect to the artists who made them",2.0
"Watching the amount of skill going into these coffee cups makes me appreciate my local potters' works even more. Usually as artists, we get questioned why our works are so expensive.  However, I think it's important customers and clients understand why the cost is as it is- the amount of skill, the time spent refining those skills and producing these creations, etc going into a product/piece.",1.0
As a person who is fascinated with ceramics and somebody who wants to start doing something with stoneware in near future I would have never imagined that I would find a video with so much practical knowledge packet in it. Thank You.,2.0
"Amazingly informative! Best simplified explanation I've heard of what happens in a reduction atmosphere. BTW folks if you struggle w pulling handles you can do it upside down for a bit. just slap some clay down on the edge of your wedging table. Pull up. When it gets long enough it will flop over and hang. You can pull downwards at this point if more is needed. I like doing it this way cause the ""flop"" produces a nice organic curve, useful for ear-profile handles",2.0
Such passion and poetry amongst the technical detail and heritage references. Very well done video and I learned so much. I will start to get into pottery thank you,2.0
"I love watching and listening to your videos. They are beautiful to watch and I love your style of narration. I think people learn best when they know the reason they are doing something and you explain your reasons and methods so well. I have just started throwing and I happened upon one of your videos and have now watched several, some a couple of times over.  Thank you so much for creating this content.",2.0
Impressive! It's funny to see how potters do things so differently from one to an other! Thank you for the tricks!,2.0
You can clearly hear the the passion for the craft on the potter's voice. Thank you for sharing your craft. I was trying to show my 4 year old how cups are made before putting him to sleep and ended up watching all 24 and a half minutes of you. Thank you for this. You gained two fans. My son was blown away :),2.0
"I know i'm late to the party with this video but I'm currently on an 8 week pottery course and I'm hooked. I really like the how these look at the end but I'm wondering, is this look specific as a result of reduction firing or can it be acheived in an electric kiln?",2.0
"The sadness I felt when I discovered everything was sold out was astronomical, though I couldn’t have afforded anything anyway. I love the work you do :D",2.0
"I love doing pottery! It's so meditative, at least when it's a hobby. Don't know what it's like if you do it to earn a living though...
I mostly make decorative masks and forest themed decoration and thinking about selling it on Etsy at some point.",2.0
"Personally I hand paint my glaze on. Its more of a personal method in a way, it makes me feel more proud when they come out because I spent so much time on them:) (I'm a high school student so I'm not very experienced but I enjoy the glazing process)",1.0
"I would love to try pottery but it just seems so complicated. I’m a truck driving father of 2 @ 41 working 70 hours a week and rarely home. I fear I don’t have the time to learn pottery but I love watching your content it’s very calming and interesting.
",2.0
This is so beautiful ❤️.,2.0
"I'm not sure you'll share this info but can't hurt to ask, but what glaze do you use or what's in your glaze mix? I absolutely love the color and how the color on the edges change ever so slightly.",2.0
"watching this i'm actually quite embarrassed, because i used to think u just put all the glazed pottery in the kiln, set the temperature to 1200°c and call it a day..... it's crazy impressive how much work there is behind professional handmade pottery. this video was amazing to watch and makes me appreciate work like this SO much more. you're doing such a great job!!",2.0
"To watch this was heaven. I had a tumor removed and don’t really have the strength to throw a pot. To watch this, was as if I were sitting in front of my own wheel. Thank you. 🦋💖 wonderful channel.",2.0
"If you ever feel like a disappointment, remember this man exists.",0.0
This man is single-handedly giving me reasons to stay in shape,2.0
These two are literally a Netflix documentary waiting to happen at this rate.,0.0
The fact this man has almost 1 million subscribers confirms that there never actually was any hope for the human race.,0.0
I bet both your families are so proud,0.0
"Whenever I have a bad day, I just remember that this guy exists and I instantly feel better",0.0
Its crazy to know people actually enjoy watching him,0.0
"Bro, with the reputation you have if you were to turn it around and use your channel as a reference for weight loss you could really inspire people. You would build an entirely new community full of support.",1.0
"I eat healthy, go to the gym daily and get 8-10 hours of sleep thanks to this man",0.0
"This saddens me to see this. My mother lost her life from a heart attack at the size of 405 pounds. I’m not no skinny person myself, but I’m attempting to make an effort to lose weight. I’m not going to call this man names or make fun of him like a lot of people do, I just hope the best for him. Being overweight and trying to lose it is a struggle, trust me I know, but you can’t give up.",0.0
This should be on replay at all gyms!,0.0
I’m convinced Nick can give anyone the motivation to lose weight.,1.0
Man is single handedly  keeping Mcdonalds open.,0.0
You know I've always wanted to cut off some weight but really couldn't find the motivation to do so but after watching this Manchild put away $100 worth ( probably more ) worth of McDonald's with and like a complete idiot has definitely gaven me the motivation,0.0
I want to thank you for all the motivation you give me,2.0
"i don’t know what’s in your mind, or your heart, Nik, but I hope you’ll reconsider your choices and make a change to stick around. You’re a good guy",1.0
It’s been a while since I’ve watched nicko. I’ve just came by to check how he’s doing cause yk I want him to take care of his health. I guess nothing has changed 😢😞,0.0
Remember childre this man is a prime example of what not to do,0.0
Nickacado makes me a tiny bit happy he shows how low a human can go and that I’m definetly not at my lowest,2.0
He makes me more motivated to be more fit,2.0
"if i ever feel like im letting myself go, i think of this guy",0.0
"I actually feel bad for this guy?? he is a good person, he just got himself into the habit of overeating, playing a character, and he can't get himself out. i really wish the best for nik.",0.0
I always come back when I’m feeling down because watching this reminds me it can always be worse,2.0
"Just sitting here eating an apple , he makes me feel good about myself lol",0.0
its so funny how nick is mad over the box and his husband is just casually eating happily,1.0
Omg such great content nick! Always inspiring our younger generation. Keep it up 🔥 💀,0.0
I'll pray for you brother.  I hope you can heal whatever it's that's causing you to be like this. Remember god loves you so much. If you accept his love and follow his word.  Then I promise you'll be happier then ever. Hang in there buddy. You dan do this!!,2.0
His stomach actually looks a lot smaller. I’m glad he’s losing a little weight and taking time off. It’s given me a chance to watch his first channel from the beginning ☺,2.0
"THIS IS INSANE, MAN! Many people are worried about u! For goodness sake, please care more about your health!",0.0
Next year if Nick is still around no matter what content he does we should support him because he cant keep this up for much longer.,0.0
This guy consistently makes me spit out liquids and nearly choke on food. Good lord! LOl,0.0
Bro I swear he’s blinked more times in this video than I have in my life,0.0
"Buddy I just worried about you,  I want you to live healthy, and be ok. But I hope you will be ok. Prayers sent your way. I love the shirt by the way.",2.0
This guy's grandmother must be proud of him,0.0
I can watch you do your Walmart skit over and over and over it is hilarious love it,2.0
U can still change ❤️‍🔥 never give up man dont listen to the haters just TRY atleast to get in shape or just lose a pound,2.0
"I enjoyed this content, you're a fun and interesting person and its nice to see an authentic you. plus, it's fun to see if your question will be read next! definitely do more of this in the future!",2.0
89 pounds holy cow that is a lot congratulations I can actually see that you are losing weight. Your face is looking slimmer so proud of you. I love watching your shows. I have watched them for years. Keep up the amazing work you got this.,2.0
I think it's sad you're legitimately making good changes in your life but not a lot of people are acknowledging it. You're just a walking meme which is fun but people forget there is a person behind that.,0.0
Awesome video! So much time to make a single item. No wonder they cost a lot more compared to the factory production stuff...,2.0
Thank you sooo much for this wonderful tutorial on how to make wadding. 🎉,2.0
"super helpful, i found a wood kiln near me so i gotta learn all about it before i do my first firing!",2.0
I didn’t even know they used anything.  I really could have used for one of my bowls.  The glaze was very runny when fired and my bowl had to pride free.  The of course was damaged.  Thank you for more knowledge.❤,2.0
"Thank you Florian, that was very informative and entertaining. Happy Easter",2.0
Such a useful video - thank you.  Quick question - can you use the test tile saucer things multiple times?  Ie can this wadding be fired multiple times?,2.0
Great job👍👍,2.0
Thanks You I am learning !! thanksdoc,2.0
oh i love the chill side of youtube. everyone’s so sleepy here,2.0
ou handle each one so gently like they are little children you are shaping. Beautiful work.  No talking or music makes me pay more attention.,2.0
"I was watching this beside my dad … and in all the sudden, he said “what a talented young man.” 😂💗",2.0
now this is on my list of dream jobs,2.0
i wish i knew about using a straight edge for the outside. I tried making mugs in Ceramics class in highschool and its so hard to not get any finger prints/correct shape of them,1.0
"Thankyou so much for taking your time out to record this, I was having a quite difficult day and this really relaxed me. Your so dedicated to this, I appreciate it💖",2.0
Satisfying...natural and therapeutic....I think this is a best way to reduce stress and get relaxed from the outer mess,2.0
I'll definitely take up pottery as a hobby in future. Thanks for inspiring buddy :),2.0
Superb workmanship. Your attention to detail and finishing is just amazing.,2.0
I literally zoned out to zen level watching you...it was so peaceful. You're a brilliant craftsman and artist! They say you must literally love your clay and handle as such and it will do exactly what you want it to...your results prove that to be true! Very beautiful! Thank you for sharing! Take care!😊,2.0
Wow it’s incredible to watch this I’m honestly gonna cry a bit at how amazing the craftsmanship in this video is! So much attention to detail & concentration! I love this!,2.0
Wow that’s amazing. I didn’t expect 20 minutes to go by so quickly. I could watch that for hours 👍🏼,2.0
"Watching this is really amazing. After taking a half year course on pottery, this... I have a huge appreciation for this kinda work. I miss throwing on the wheel.... this is so soothing and just wonderful to watch.",2.0
Beautiful art and craftsmanship.,2.0
"clay making is so difficult, yet you make it look so easy its awesome",2.0
There was never a single moment that i fast forwarded the video. What a lovely location. Silent with no background noise. Working from day to night. That perfection eye to see all are made exactly the same. Free hand with no jerks. Love to be a potter anytime. At least that will make me temperament.,2.0
"Awesome! You are so handy and delicate.
I always have a problem when i shave it.😂",2.0
"It's always so cool to see people throwing clay. I can't ever get the hang of it(though over the course of 3 years I've gotten good at hand-building(still surprised my high school offers pottery at all)), but dang is it awesome to watch! How long do these take you each?",2.0
"I love the clay that you use, and the lip on the outside of the teapot is such an elegant design choice. TFS!
",2.0
Zen and the art of teapot making… I’m so glad I found your channel.,2.0
"Beautiful pots, EXQUISITE GLAZE! Thank you so much for sharing!!!!!! I haven’t had my hands in clay in several years. I sure miss it.",2.0
"This was beautiful. I watched every minute intently. But it was also calming. A good friend of mine is a ceramist/artist, so i have so much respect for your craft, and now I understand more of the skill involved. Thank you!",2.0
"I have never felt such deep, deep sadness as much as I did watching this. Now I understand even more why gluttony is literally a sin. A way to completely, deliberately take the gift of life for granted… as someone who’s traumatized from taking care of two diabetic parents, I can’t even begin to describe the disdain I feel for people like this who have NO clue, what hell it is to live with a disease like diabetes; what it turns into as the human body deteriorates bit by bit. This is beyond depressing, pitiful and just downright loathsome.",0.0
Sometimes I think it’s crazy that people allow themselves to get this far,0.0
There’s no way someone can sit and watch this whole video without feeling sick,0.0
Those chairs are stronger than my last relationship,1.0
"OMG,crazy eating! 🍩 My brain would explode after that HUGE dose of sugar. 🤯",0.0
I never thought donuts can look disgusting until now,0.0
